590701.9843880269,6136753.91104422,19.743,N,32,U
590701.9843880269,6136753.91104422,19.738,32,N,U
590701.9843880269,6136753.91104422,19.735,32,N,U
590701.9778219243,6136753.922041295,19.733,32,N,U
590701.9773644422,6136753.944295996,19.732,32,N,U
590701.9707983395,6136753.955293071,19.731,32,N,U
590701.9705695985,6136753.96642042,19.732,32,N,U
590701.9637747548,6136753.988544846,19.734,32,N,U
590701.9569799114,6136754.0106692705,19.737,32,N,U
590701.9562936885,6136754.044051321,19.741,32,N,U
590701.9492701042,6136754.077303095,19.746,32,N,U
590701.9488126223,6136754.099557796,19.751,32,N,U
590701.941789038,6136754.132809571,19.756,32,N,U
590701.9413315562,6136754.155064271,19.764,32,N,U
590701.9406453334,6136754.18844632,19.771,32,N,U
590701.9399591106,6136754.22182837,19.778,32,N,U
590701.9395016287,6136754.244083069,19.785,32,N,U
590701.9392728878,6136754.255210421,19.808,32,N,U
590701.9374429603,6136754.3442292195,19.819,32,N,U
590701.9306481174,6136754.366353646,19.834,32,N,U
590701.9238532747,6136754.38847807,19.849,32,N,U
590701.9233957928,6136754.410732769,19.855,32,N,U
590701.9159147274,6136754.466239244,19.856,32,N,U
590701.9161434682,6136754.455111895,19.862,32,N,U
590701.9351555512,6136754.45550272,19.862,32,N,U
590701.947830273,6136754.455763268,19.868,32,N,U
590701.960504995,6136754.456023819,19.869,32,N,U
590701.9668423559,6136754.456154093,19.874,32,N,U
590701.9795170779,6136754.456414644,19.872,32,N,U
590701.985854439,6136754.456544919,19.876,32,N,U
590701.9921917998,6136754.456675193,19.877,32,N,U
590701.9921917998,6136754.456675193,19.882,32,N,U
590701.9924205409,6136754.445547843,19.883,32,N,U
590701.9987579018,6136754.445678119,19.886,32,N,U
590701.998986643,6136754.434550767,19.884,32,N,U
590701.9992153841,6136754.423423419,19.885,32,N,U
590701.9996728663,6136754.401168718,19.881,32,N,U
590701.9999016074,6136754.390041368,19.879,32,N,U
590702.0066964506,6136754.3679169435,19.873,32,N,U
590702.0198286551,6136754.345922793,19.869,32,N,U
590702.0331896011,6136754.312801294,19.862,32,N,U
590702.0465505468,6136754.279679792,19.856,32,N,U
590702.0601402343,6136754.235430944,19.844,32,N,U
590702.0735011807,6136754.202309444,19.836,32,N,U
590702.0870908685,6136754.158060595,19.828,32,N,U
590702.0938857126,6136754.135936169,19.824,32,N,U
590702.1011380393,6136754.091557045,19.818,32,N,U
590702.1018242631,6136754.058174995,19.817,32,N,U
590702.10907659,6136754.01379587,19.811,32,N,U
590702.1095340728,6136753.991541171,19.806,32,N,U
590702.1165576585,6136753.958289395,19.804,32,N,U
590702.1235812443,6136753.925037621,19.809,32,N,U
590702.1310623128,6136753.869531147,19.81,32,N,U
590702.138085899,6136753.836279371,19.811,32,N,U
590702.1453382263,6136753.791900246,19.809,32,N,U
590702.1523618125,6136753.758648474,19.816,32,N,U
590702.1469394163,6136753.714008798,19.817,32,N,U
590702.1412882784,6136753.680496473,19.819,32,N,U
590702.1487693475,6136753.6249899985,19.817,32,N,U
590702.1494555718,6136753.591607948,19.819,32,N,U
590702.1567078995,6136753.547228824,19.817,32,N,U
590702.1639602276,6136753.502849699,19.818,32,N,U
590702.1648751934,6136753.458340299,19.814,32,N,U
590702.1655614176,6136753.42495825,19.815,32,N,U
590702.166247642,6136753.391576199,19.812,32,N,U
590702.1669338662,6136753.35819415,19.812,32,N,U
590702.167848832,6136753.313684751,19.809,32,N,U
590702.1685350564,6136753.2803027,19.81,32,N,U
590702.169450022,6136753.235793299,19.808,32,N,U
590702.1637988834,6136753.202280976,19.808,32,N,U
590702.1644851078,6136753.168898925,19.805,32,N,U
590702.1651713318,6136753.135516875,19.806,32,N,U
590702.1597489347,6136753.090877201,19.805,32,N,U
590702.1602064173,6136753.068622502,19.805,32,N,U
590702.1611213831,6136753.024113102,19.804,32,N,U
590702.1618076072,6136752.990731051,19.804,32,N,U
590702.1563852096,6136752.946091375,19.801,32,N,U
590702.1568426923,6136752.923836676,19.801,32,N,U
590702.1577576579,6136752.879327279,19.799,32,N,U
590702.1584438819,6136752.845945227,19.804,32,N,U
590702.1591301061,6136752.812563177,19.805,32,N,U
590702.1534789668,6136752.779050851,19.81,32,N,U
590702.1543939322,6136752.7345414525,19.811,32,N,U
590702.1485140515,6136752.712156478,19.814,32,N,U
590702.1494290167,6136752.667647079,19.814,32,N,U
590702.1501152408,6136752.634265028,19.816,32,N,U
590702.1444641011,6136752.600752704,19.815,32,N,U
590702.1451503251,6136752.567370655,19.816,32,N,U
590702.1456078078,6136752.545115954,19.814,32,N,U
590702.1460652903,6136752.5228612535,19.812,32,N,U
590702.1462940316,6136752.511733904,19.809,32,N,U
590702.1462940316,6136752.511733904,19.807,32,N,U
590702.1462940316,6136752.511733904,19.807,32,N,U
590702.1462940316,6136752.511733904,19.811,32,N,U
590702.1399566679,6136752.511603628,19.81,32,N,U
590702.133619304,6136752.511473353,19.814,32,N,U
590702.1268244578,6136752.5335977785,19.818,32,N,U
590702.1198008703,6136752.566849554,19.825,32,N,U
590702.1132347654,6136752.577846627,19.834,32,N,U
590702.0998738145,6136752.610968127,19.843,32,N,U
590702.0867416048,6136752.632962278,19.847,32,N,U
590702.0672720319,6136752.65482615,19.855,32,N,U
590702.035813955,6136752.643047428,19.854,32,N,U
590701.991681151,6136752.631008153,19.848,32,N,U
590701.9409822422,6136752.6299659535,19.84,32,N,U
590701.8778373469,6136752.617535856,19.839,32,N,U
590701.827138438,6136752.616493658,19.832,32,N,U
590701.783005633,6136752.604454386,19.82,32,N,U
590701.7391015684,6136752.581287765,19.804,32,N,U
590701.6949687628,6136752.569248491,19.783,32,N,U
590701.6508359573,6136752.557209223,19.757,32,N,U
590701.6064744114,6136752.556297302,19.743,32,N,U
590701.5684502292,6136752.555515655,19.729,32,N,U
590701.5433295143,6136752.543867207,19.717,32,N,U
590701.5177513198,6136752.554473461,19.702,32,N,U
590701.4858357615,6136752.564949439,19.697,32,N,U
590701.4355943311,6136752.541652545,19.697,32,N,U
590701.378786797,6136752.529352731,19.699,32,N,U
590701.3661120698,6136752.529092183,19.699,32,N,U
590700.9599018847,6136752.242440642,19.711,32,N,U
590700.8917920461,6136752.163116186,19.729,32,N,U
590700.8297908314,6136752.095049352,19.755,32,N,U
590700.7868017082,6136752.027373342,19.768,32,N,U
590700.7433551078,6136751.981952031,19.776,32,N,U
590700.6996797691,6136751.947658068,19.779,32,N,U
590700.6557756924,6136751.924491456,19.786,32,N,U
590700.6182089795,6136751.901455119,19.789,32,N,U
590700.5869796313,6136751.878549055,19.799,32,N,U
590700.5681962745,6136751.867030886,19.813,32,N,U
590700.5684250118,6136751.855903537,19.84,32,N,U
590700.5996543604,6136751.8788096,19.882,32,N,U
590700.6621130569,6136751.924621729,19.927,32,N,U
590700.7254867028,6136751.9259244595,19.961,32,N,U
590700.7954264513,6136751.916230114,19.963,32,N,U
590700.8649087237,6136751.928790471,19.906,32,N,U
590700.9219450051,6136751.929962929,19.9,32,N,U
590700.9608841456,6136751.886235171,19.909,32,N,U
590700.9808111928,6136751.842116591,19.917,32,N,U
590701.0122692779,6136751.853895309,19.91,32,N,U
590701.049378512,6136751.8991863495,19.914,32,N,U
590701.1054998393,6136751.944868212,19.926,32,N,U
590701.1428378103,6136751.979031901,19.938,32,N,U
590701.1808619974,6136751.979813544,19.947,32,N,U
590701.1937654654,6136751.968946744,19.959,32,N,U
590701.2059827165,6136751.991461991,19.962,32,N,U
590701.2052964999,6136752.024844039,19.959,32,N,U
590701.217056273,6136752.069613988,19.948,32,N,U
590701.2222499426,6136752.1253810115,19.942,32,N,U
590701.2396608626,6136752.203663281,19.944,32,N,U
590701.2507344177,6136752.28181528,19.953,32,N,U
590701.2810488034,6136752.349230749,19.957,32,N,U
590701.3111344487,6136752.427773567,19.953,32,N,U
590701.3405338754,6136752.539698437,19.945,32,N,U
590701.3635959368,6136752.651493033,19.951,32,N,U
590701.3737545306,6136752.774154429,19.961,32,N,U
590701.3780332394,6136752.874430853,19.964,32,N,U
590701.3952154135,6136752.963840475,19.966,32,N,U
590701.399265382,6136753.075244249,19.969,32,N,U
590701.3969779871,6136753.186517748,19.965,32,N,U
590701.3881244903,6136753.308788322,19.973,32,N,U
590701.3792709936,6136753.431058898,19.98,32,N,U
590701.3582002517,6136753.530814228,19.968,32,N,U
590701.3371295105,6136753.630569555,19.951,32,N,U
590701.315830031,6136753.741452233,19.94,32,N,U
590701.2940730738,6136753.874589609,19.934,32,N,U
590701.2788822185,6136753.996729911,19.945,32,N,U
590701.2639201032,6136754.107742865,19.948,32,N,U
590701.2552953498,6136754.2188860895,19.948,32,N,U
590701.2403332356,6136754.329899041,19.945,32,N,U
590701.2251423826,6136754.452039342,19.943,32,N,U
590701.2099515304,6136754.574179645,19.945,32,N,U
590701.194760679,6136754.696319949,19.943,32,N,U
590701.1988106486,6136754.8077237215,19.952,32,N,U
590701.2091979783,6136754.91925777,19.962,32,N,U
590701.2066818477,6136755.0416586185,19.967,32,N,U
590701.203936978,6136755.175186819,19.973,32,N,U
590701.1950834877,6136755.297457394,19.983,32,N,U
590701.179892638,6136755.4195976965,19.994,32,N,U
590701.1778339862,6136755.519743847,20.007,32,N,U
590701.1753178559,6136755.642144699,20.013,32,N,U
590701.1728017257,6136755.764545546,20.004,32,N,U
590701.1700568564,6136755.898073746,20.002,32,N,U
590701.1609746283,6136756.031471674,20.018,32,N,U
590701.1521211397,6136756.153742249,20.027,32,N,U
590701.1496050096,6136756.2761431,20.026,32,N,U
590701.1407515213,6136756.398413676,20.013,32,N,U
590701.1189945787,6136756.531551056,20.003,32,N,U
590701.1096836133,6136756.676076332,20.014,32,N,U
590701.1001439095,6136756.831728958,20.034,32,N,U
590701.0973990414,6136756.965257157,20.055,32,N,U
590701.1009915302,6136757.098915632,20.062,32,N,U
590701.098246662,6136757.232443832,20.053,32,N,U
590701.082598341,6136757.376838835,20.05,32,N,U
590701.0669500207,6136757.521233838,20.076,32,N,U
590701.0578677966,6136757.654631765,20.09,32,N,U
590701.0614602851,6136757.788290239,20.086,32,N,U
590701.0523780613,6136757.921688167,20.065,32,N,U
590701.0430670988,6136758.066213442,20.056,32,N,U
590701.0398647534,6136758.221996344,20.071,32,N,U
590701.0368911469,6136758.366651895,20.101,32,N,U
590701.0278089242,6136758.500049821,20.119,32,N,U
590701.0187267017,6136758.633447749,20.108,32,N,U
590701.0030783858,6136758.777842752,20.096,32,N,U
590700.9874300709,6136758.922237755,20.108,32,N,U
590700.9717817567,6136759.066632757,20.137,32,N,U
590700.9626995362,6136759.2000306845,20.142,32,N,U
590700.953846055,6136759.322301263,20.135,32,N,U
590700.951101189,6136759.455829463,20.116,32,N,U
590700.9417902305,6136759.60035474,20.112,32,N,U
590700.9388166257,6136759.745010291,20.134,32,N,U
590700.935843021,6136759.889665844,20.159,32,N,U
590700.9269895409,6136760.011936419,20.166,32,N,U
590700.924244675,6136760.145464621,20.155,32,N,U
590700.9214998093,6136760.278992822,20.143,32,N,U
590700.9060802384,6136760.412260476,20.15,32,N,U
590700.8904319298,6136760.55665548,20.178,32,N,U
590700.8750123605,6136760.689923134,20.189,32,N,U
590700.8661588826,6136760.812193711,20.175,32,N,U
590700.8505105758,6136760.956588715,20.153,32,N,U
590700.8411996214,6136761.101113994,20.152,32,N,U
590700.8382260185,6136761.2457695445,20.168,32,N,U
590700.8352524156,6136761.390425096,20.186,32,N,U
590700.8198328494,6136761.5236927485,20.186,32,N,U
590700.8044132843,6136761.656960404,20.17,32,N,U
590700.7887649813,6136761.801355409,20.167,32,N,U
590700.7728879404,6136761.956877763,20.19,32,N,U
590700.7574683774,6136762.090145419,20.203,32,N,U
590700.7483861651,6136762.223543347,20.198,32,N,U
590700.739303953,6136762.356941274,20.181,32,N,U
590700.7363303521,6136762.501596826,20.18,32,N,U
590700.7331280127,6136762.657379727,20.19,32,N,U
590700.7238170627,6136762.801905005,20.205,32,N,U
590700.7147348518,6136762.935302934,20.207,32,N,U
590700.7058813797,6136763.057573513,20.197,32,N,U
590700.6838957339,6136763.201838244,20.185,32,N,U
